feature_set,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_features
derived_features_only,0.8338773460548616,0.01637969478119658,0.8153823814873405,0.022344180777192038,0.7336743393009378,0.049411081850834114,0.7715253019375303,0.029217033740639598,37.0
Without_bands,0.8338710689849979,0.01910580916391619,0.8153407034128938,0.02007864667450345,0.7335890878090366,0.06231965693611868,0.7710512023655071,0.03565557164393471,30.0
Without_FareBand,0.8327663046889711,0.017104923238097935,0.8107039356623152,0.016800247184062124,0.7365728900255755,0.059023191794224335,0.7706926839835726,0.03283418820344821,34.0
Without_AgeBand,0.8338836231247253,0.017251887325614598,0.817315822503865,0.019407432962894704,0.7307331628303496,0.05478146377180647,0.7706394658898617,0.031450862208294295,33.0
Without_ticket_info,0.8305128366078713,0.012406652801617792,0.8177697968170164,0.016538648653951774,0.7190963341858483,0.04590933339415601,0.7644394356888985,0.025348929688652325,30.0
Without_CabinDeck_info,0.8293892411022534,0.013166462652044502,0.8129241827355035,0.015797004539669326,0.721994884910486,0.047904587632269284,0.7639110139793746,0.026678083515235144,29.0
Without_is_alone,0.8282656455966355,0.01192844371180408,0.8144810093333137,0.018440080196928266,0.7161977834612105,0.04236107086257743,0.7614403555464222,0.023769291565186063,36.0
Without_family_info,0.8249199673592367,0.01071088216720685,0.8068368600964566,0.01801626858425609,0.7161551577152601,0.04741393376055753,0.7577804115801154,0.023548029964123297,35.0
Without_family_size,0.8237775406440274,0.0131749214361998,0.8117894970652226,0.017799746632932305,0.7044330775788576,0.04262292190133519,0.7536520629441983,0.02525019228800809,36.0
basic_features_only,0.8304940053982801,0.020308059984000783,0.869955451955452,0.047194827223434384,0.657843137254902,0.030879256609445134,0.7486390532794776,0.03034634634167911,8.0
Without_title_info,0.8193019898311468,0.014016002659819197,0.8252356700330561,0.027173738979967367,0.6725490196078432,0.03923728277784933,0.740362092037422,0.02459516433577728,33.0
